特征,系列,IC,RIC,ICIR,RICIR,IC均值,RIC均值,Fitness,有效样本
M4,M,-0.06659955380363186,-0.05310288897404492,-0.9619244562259973,-0.9320193844834026,-0.17893248055979175,-0.17523385753026888,0.0,8015
V13,V,0.06239514540814434,0.046437615288921444,1.0317294777549797,0.9057389017250019,0.20808937558547397,0.18251897264185696,27.575425408623975,7510
M1,M,0.046110719940436105,0.05310360387052776,1.1544304305295379,1.092503256268084,0.22907856845701455,0.2182148569687605,25.593947131970488,3474
lagged_market_forward_excess_returns,l,-0.04499893056072517,-0.032887140902648715,-0.3500951116266338,-0.34447141489076144,-0.06839942377420237,-0.06991437041665378,0.0,9020
lagged_forward_returns,l,-0.04478796508601925,-0.033089289034231695,-0.3493259250554528,-0.34354924117760943,-0.06825304772487457,-0.06973131876552537,0.0,9020
S5,S,0.04001013024572161,0.03913807016496593,0.5938908145253858,0.5667033501343753,0.12630067590471186,0.12104891784928881,11.788193678938354,7510
S2,S,-0.03788550240444073,-0.04480593895116027,-1.0840119624742544,-0.9953724158911079,-0.2002761240143396,-0.18584845125560284,0.0,8015
D2,D,0.03394639619897254,0.029805091823987717,0.0,0.0,0.0,0.0,0.0,9021
D1,D,0.03394639619897254,0.029805091823987717,0.0,0.0,0.0,0.0,0.0,9021
M2,M,0.03323764953418531,0.029129385651673032,0.32600795688798684,0.3016378557216878,0.06694085724606585,0.0631732312631189,5.317463921418524,5804
V10,V,0.0326350387776575,0.043995595321811735,1.1250300533041449,1.0641865142415186,0.2326539444071339,0.2163977502170597,14.811607921228893,2972
E7,E,-0.032294154842200565,-0.014016438224099913,-0.01242644892932472,0.0007724110544550872,-0.002981873960643467,0.0001826997400042155,0.125801503293054,2052
E11,E,-0.032131278702368704,-0.030769855004776442,-0.03692672917606306,-0.005180177559378052,-0.007619845374546343,-0.001064587939662533,0.0,8015
V7,V,0.031483902616633426,0.03678949044180365,1.272284816417388,1.1727836020241675,0.24305642754387452,0.22436728585580892,12.543573401047754,7510
E12,E,-0.030926525258494215,-0.02197418547546875,0.011121962553305583,0.018837068132929565,0.0022854670101261376,0.0037794922138648527,0.9327184507139302,8015
P8,P,-0.029590544251135643,-0.025295899808867883,-1.3453540761686487,-1.2492115513423427,-0.25279651499549866,-0.23526951445647634,0.0,8015
S12,S,0.026133613513477573,0.03130059808597597,0.05995260763546121,0.07740061723051897,0.013354352698579467,0.01738885181847574,2.275748746126363,5484
I2,I,-0.02517599516304344,-0.02672077446372446,0.016335748811686604,0.030519255216366375,0.0037202812311197394,0.006750179601078731,1.1752294161429286,8015
