feature,gain,split,category
E6_ewm14,0.0,0.0,other
E6_ewm7,0.0,0.0,other
I2_ewm30,0.0,0.0,other
I2_ewm14,0.0,0.0,other
I2_ewm7,0.0,0.0,other
M18_ewm30,0.0,0.0,other
M18_ewm14,0.0,0.0,other
M18_ewm7,0.0,0.0,other
M1_ewm30,0.0,0.0,other
M1_ewm14,0.0,0.0,other
M17_ewm30,0.0,0.0,other
M17_ewm14,0.0,0.0,other
M17_ewm7,0.0,0.0,other
V13_ewm14,0.0,0.0,other
S6_ewm14,0.0,0.0,other
S6_ewm7,0.0,0.0,other
P7_ewm30,0.0,0.0,other
P7_ewm14,0.0,0.0,other
P7_ewm7,0.0,0.0,other
V5_ewm30,0.0,0.0,other
V5_ewm14,0.0,0.0,other
V5_ewm7,0.0,0.0,other
P12_ewm30,0.0,0.0,other
P12_ewm14,0.0,0.0,other
P12_ewm7,0.0,0.0,other
V13_ewm30,0.0,0.0,other
V13_ewm7,0.0,0.0,other
M12_ewm7,0.0,0.0,other
S2_ewm30,0.0,0.0,other
S2_ewm14,0.0,0.0,other
S2_ewm7,0.0,0.0,other
S7_ewm30,0.0,0.0,other
S7_ewm14,0.0,0.0,other
S7_ewm7,0.0,0.0,other
M4_ewm30,0.0,0.0,other
M4_ewm14,0.0,0.0,other
M4_ewm7,0.0,0.0,other
M7_ewm30,0.0,0.0,other
M7_ewm14,0.0,0.0,other
M7_ewm7,0.0,0.0,other
S6_ewm30,0.0,0.0,other
M12_ewm14,0.0,0.0,other
V6_ewm30,0.0,0.0,other
E16_ewm14,0.0,0.0,other
V6_ewm14,0.0,0.0,other
V6_ewm7,0.0,0.0,other
S12_ewm30,0.0,0.0,other
S12_ewm14,0.0,0.0,other
S12_ewm7,0.0,0.0,other
P1_ewm30,0.0,0.0,other
P1_ewm14,0.0,0.0,other
P1_ewm7,0.0,0.0,other
P4_ewm30,0.0,0.0,other
P4_ewm14,0.0,0.0,other
P4_ewm7,0.0,0.0,other
E16_ewm30,0.0,0.0,other
E16_ewm7,0.0,0.0,other
M12_ewm30,0.0,0.0,other
M9_ewm30,0.0,0.0,other
M9_ewm14,0.0,0.0,other
M9_ewm7,0.0,0.0,other
P2_ewm30,0.0,0.0,other
P2_ewm14,0.0,0.0,other
P2_ewm7,0.0,0.0,other
P5_ewm30,0.0,0.0,other
P5_ewm14,0.0,0.0,other
P5_ewm7,0.0,0.0,other
P8_ewm30,0.0,0.0,other
P8_ewm14,0.0,0.0,other
P8_ewm7,0.0,0.0,other
M9_pct3,0.0,0.0,other
P2_pct7,0.0,0.0,other
D1_div_D5,0.0,0.0,other
M18_roll20_max,0.0,0.0,other
I2_roll10_max,0.0,0.0,other
I2_roll10_std,0.0,0.0,other
I2_roll10_mean,0.0,0.0,other
I2_roll6_max,0.0,0.0,other
I2_roll6_std,0.0,0.0,other
I2_roll6_mean,0.0,0.0,other
I2_roll3_max,0.0,0.0,other
I2_roll3_std,0.0,0.0,other
I2_roll3_mean,0.0,0.0,other
M18_roll60_max,0.0,0.0,other
M18_roll60_std,0.0,0.0,other
M18_roll60_mean,0.0,0.0,other
M18_roll20_std,0.0,0.0,other
I2_roll20_std,0.0,0.0,other
M18_roll20_mean,0.0,0.0,other
M18_roll10_max,0.0,0.0,other
M18_roll10_std,0.0,0.0,other
M18_roll10_mean,0.0,0.0,other
M18_roll6_max,0.0,0.0,other
M18_roll6_std,0.0,0.0,other
M18_roll6_mean,0.0,0.0,other
M18_roll3_max,0.0,0.0,other
M18_roll3_std,0.0,0.0,other
M18_roll3_mean,0.0,0.0,other
M1_roll60_max,0.0,0.0,other
M1_roll60_std,0.0,0.0,other
I2_roll20_mean,0.0,0.0,other
I2_roll20_max,0.0,0.0,other
M1_roll20_max,0.0,0.0,other
E6_roll20_max,0.0,0.0,other
lagged_forward_returns_roll10_max,0.0,0.0,other
lagged_forward_returns_roll10_std,0.0,0.0,other
lagged_forward_returns_roll10_mean,0.0,0.0,other
lagged_forward_returns_roll6_max,0.0,0.0,other
lagged_forward_returns_roll6_std,0.0,0.0,other
lagged_forward_returns_roll6_mean,0.0,0.0,other
lagged_forward_returns_roll3_max,0.0,0.0,other
lagged_forward_returns_roll3_std,0.0,0.0,other
lagged_forward_returns_roll3_mean,0.0,0.0,other
E6_roll60_max,0.0,0.0,other
E6_roll60_std,0.0,0.0,other
E6_roll60_mean,0.0,0.0,other
E6_roll20_std,0.0,0.0,other
I2_roll60_mean,0.0,0.0,other
E6_roll20_mean,0.0,0.0,other
E6_roll10_max,0.0,0.0,other
E6_roll10_std,0.0,0.0,other
E6_roll10_mean,0.0,0.0,other
E6_roll6_max,0.0,0.0,other
E6_roll6_std,0.0,0.0,other
E6_roll6_mean,0.0,0.0,other
E6_roll3_max,0.0,0.0,other
E6_roll3_std,0.0,0.0,other
E6_roll3_mean,0.0,0.0,other
I2_roll60_max,0.0,0.0,other
I2_roll60_std,0.0,0.0,other
M1_roll60_mean,0.0,0.0,other
M1_roll20_std,0.0,0.0,other
P2_pct3,0.0,0.0,other
I9_roll20_max,0.0,0.0,other
E8_roll10_max,0.0,0.0,other
E8_roll10_std,0.0,0.0,other
E8_roll10_mean,0.0,0.0,other
E8_roll6_max,0.0,0.0,other
E8_roll6_std,0.0,0.0,other
E8_roll6_mean,0.0,0.0,other
E8_roll3_max,0.0,0.0,other
E8_roll3_std,0.0,0.0,other
E8_roll3_mean,0.0,0.0,other
I9_roll60_max,0.0,0.0,other
I9_roll60_std,0.0,0.0,other
I9_roll60_mean,0.0,0.0,other
I9_roll20_std,0.0,0.0,other
E8_roll20_std,0.0,0.0,other
I9_roll20_mean,0.0,0.0,other
I9_roll10_max,0.0,0.0,other
I9_roll10_std,0.0,0.0,other
I9_roll10_mean,0.0,0.0,other
I9_roll6_max,0.0,0.0,other
I9_roll6_std,0.0,0.0,other
I9_roll6_mean,0.0,0.0,other
I9_roll3_max,0.0,0.0,other
I9_roll3_std,0.0,0.0,other
I9_roll3_mean,0.0,0.0,other
M13_roll60_max,0.0,0.0,other
M13_roll60_std,0.0,0.0,other
E8_roll20_mean,0.0,0.0,other
E8_roll20_max,0.0,0.0,other
M1_roll20_mean,0.0,0.0,other
S11_roll20_max,0.0,0.0,other
M1_roll10_max,0.0,0.0,other
M1_roll10_std,0.0,0.0,other
M1_roll10_mean,0.0,0.0,other
M1_roll6_max,0.0,0.0,other
M1_roll6_std,0.0,0.0,other
M1_roll6_mean,0.0,0.0,other
M1_roll3_max,0.0,0.0,other
M1_roll3_std,0.0,0.0,other
M1_roll3_mean,0.0,0.0,other
S11_roll60_max,0.0,0.0,other
