strategy,n_windows,mean_score,std_score,min_score,max_score,stability_score,avg_factor_change
fixed_all_history_ic,893,1.420640279418932,3.051384740166449,-11.55371646768428,13.356287430333222,-4.682129200913966,
dynamic_every_window_fitness_60d,893,1.3693301261769846,3.099606006641887,-11.941621957621608,12.801946153515686,-4.82988188710679,7.073991031390134
dynamic_every_window_ic_60d,893,1.2256478280989263,2.951516696023374,-11.941621957621608,14.243559925029174,-4.677385563947821,9.493273542600896
