window_id,strategy1_fixed_ic,strategy2_dynamic_ic,strategy3_dynamic_fitness
0,7.812061504420927,7.812061504420927,7.812061504420927
1,-0.1794931706115873,-0.1407399236925665,-0.1407399236925665
2,-2.539799380738547,-3.915774362256716,-3.915774362256716
3,0.0,0.0,2.664153166042992
4,-2.7414292292769695,0.281823582831008,0.281823582831008
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,5.251511782724253,5.251511782724253
13,-0.244882180228907,-0.244882180228907,-0.8368183994400186
14,6.627390884499458,3.647041618112998,3.647041618112998
15,-0.19472982126914137,-0.19472982126914137,-0.19472982126914137
16,-8.40159077236214,-0.03563050207238598,-0.03563050207238598
17,0.0,0.0,0.0
18,7.000896776403589,10.568151398463447,10.568151398463447
19,1.3310713312052997,1.3310713312052997,1.3310713312052997
20,1.0351996871835898,3.0260535586342048,3.0260535586342048
21,-0.13135576008407318,-0.0614763668412227,-0.0614763668412227
22,0.826050967815941,0.826050967815941,0.826050967815941
23,3.3060980729578766,-0.06225121397392931,-0.06225121397392931
24,-3.4477791013019408,-3.4477791013019408,-3.4477791013019408
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,-6.541279493586019,0.0,-6.541279493586019
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.1284475784756333,0.1284475784756333,0.1284475784756333
31,0.4802424750497566,0.4802424750497566,0.4802424750497566
32,1.736660808184454,1.736660808184454,1.736660808184454
33,-0.07488749821531095,-11.941621957621608,-11.941621957621608
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,-5.796636264271031,-4.405122422772078,-5.796636264271031
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,6.13897711165753,5.377301220163196,5.377301220163196
42,-0.21084085687466309,-0.21084085687466309,-0.21084085687466309
43,-0.15363638639759086,-0.15363638639759086,-0.15363638639759086
44,-0.6945396665701683,-0.35328514870323074,-0.6945396665701683
45,-6.125658763807583,-6.125658763807583,-6.125658763807583
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,-3.011891473477389,-3.011891473477389,-3.011891473477389
50,-2.7184901114453877,-2.7184901114453877,-2.7184901114453877
51,0.0,0.0,0.0
52,-7.071943647715985,-0.14257707720006252,-0.14257707720006252
